"loan_amnt","term","int_rate","installment","grade","sub_grade","emp_length","home_ownership","annual_inc","verification_status","issue_d","purpose","addr_state","dti","delinq_2yrs","inq_last_6mths","loan_status_Binary"
5000," 36 months",10.65,162.87,"B","B2","10+ years","RENT",24000,"Verified","11-Dec","credit_card","AZ",27.65,0,1,"0"
2500," 60 months",15.27,59.83,"C","C4","< 1 year","RENT",30000,"Source Verified","11-Dec","car","GA",1,0,5,"1"
2400," 36 months",15.96,84.33,"C","C5","10+ years","RENT",12252,"Not Verified","11-Dec","small_business","IL",8.72,0,2,"0"
10000," 36 months",13.49,339.31,"C","C1","10+ years","RENT",49200,"Source Verified","11-Dec","other","CA",20,0,1,"0"
3000," 60 months",12.69,67.79,"B","B5","1 year","RENT",80000,"Source Verified","11-Dec","other","OR",17.94,0,0,"0"
5000," 36 months",7.9,156.46,"A","A4","3 years","RENT",36000,"Source Verified","11-Dec","wedding","AZ",11.2,0,3,"0"
7000," 60 months",15.96,170.08,"C","C5","8 years","RENT",47004,"Not Verified","11-Dec","debt_consolidation","NC",23.51,0,1,"0"
3000," 36 months",18.64,109.43,"E","E1","9 years","RENT",48000,"Source Verified","11-Dec","car","CA",5.35,0,2,"0"
5600," 60 months",21.28,152.39,"F","F2","4 years","OWN",40000,"Source Verified","11-Dec","small_business","CA",5.55,0,2,"1"
5375," 60 months",12.69,121.45,"B","B5","< 1 year","RENT",15000,"Verified","11-Dec","other","TX",18.08,0,0,"1"
6500," 60 months",14.65,153.45,"C","C3","5 years","OWN",72000,"Not Verified","11-Dec","debt_consolidation","AZ",16.12,0,2,"0"
12000," 36 months",12.69,402.54,"B","B5","10+ years","OWN",75000,"Source Verified","11-Dec","debt_consolidation","CA",10.78,0,0,"0"
9000," 36 months",13.49,305.38,"C","C1","< 1 year","RENT",30000,"Source Verified","11-Dec","debt_consolidation","VA",10.08,0,1,"1"
3000," 36 months",9.91,96.68,"B","B1","3 years","RENT",15000,"Source Verified","11-Dec","credit_card","IL",12.56,0,2,"0"
10000," 36 months",10.65,325.74,"B","B2","3 years","RENT",1e+05,"Source Verified","11-Dec","other","CA",7.06,0,2,"1"
1000," 36 months",16.29,35.31,"D","D1","< 1 year","RENT",28000,"Not Verified","11-Dec","debt_consolidation","MO",20.31,0,1,"0"
10000," 36 months",15.27,347.98,"C","C4","4 years","RENT",42000,"Not Verified","11-Dec","home_improvement","CA",18.6,0,2,"0"
3600," 36 months",6.03,109.57,"A","A1","10+ years","MORTGAGE",110000,"Not Verified","11-Dec","major_purchase","CT",10.52,0,0,"0"
6000," 36 months",11.71,198.46,"B","B3","1 year","MORTGAGE",84000,"Verified","11-Dec","medical","UT",18.44,2,0,"0"
9200," 36 months",6.03,280.01,"A","A1","6 years","RENT",77385.19,"Not Verified","11-Dec","debt_consolidation","CA",9.86,0,0,"0"
20250," 60 months",15.27,484.63,"C","C4","3 years","RENT",43370,"Verified","11-Dec","debt_consolidation","TX",26.53,0,3,"0"
21000," 36 months",12.42,701.73,"B","B4","10+ years","RENT",105000,"Verified","11-Dec","debt_consolidation","FL",13.22,0,0,"1"
